Wavenumber,Intensity
650.4205,0.379883
652.2841,0.380683
654.1478,0.380065
656.0115,0.379819
657.8751,0.380587
659.7388,0.378891
661.6025,0.368984
663.4661,0.362919
665.3298,0.359355
667.1935,0.359848
669.0571,0.366254
670.9208,0.361470
672.7845,0.357141
674.6481,0.355821
676.5118,0.352612
678.3755,0.350412
680.2392,0.345047
682.1028,0.341167
683.9665,0.339306
685.8302,0.338304
687.6938,0.336250
689.5575,0.334273
691.4212,0.332735
693.2848,0.330958
695.1485,0.327570
697.0122,0.326556
698.8758,0.324205
700.7395,0.320418
702.6032,0.317225
704.4669,0.314243
706.3305,0.310953
708.1942,0.308674
710.0579,0.305188
711.9215,0.302625
713.7852,0.299497
715.6489,0.295509
717.5125,0.292345
719.3762,0.291089
721.2399,0.289301
723.1035,0.287114
724.9672,0.284677
726.8309,0.281382
728.6945,0.277290
730.5582,0.275972
732.4219,0.275004
734.2856,0.273371
736.1492,0.271130
738.0129,0.269574
739.8766,0.268044
741.7402,0.266668
743.6039,0.264553
745.4676,0.262185
747.3312,0.259751
749.1949,0.257078
751.0586,0.254060
752.9222,0.251592
754.7859,0.250049
756.6496,0.249006
758.5132,0.245867
760.3769,0.243177
762.2406,0.241455
764.1043,0.239444
765.9679,0.236707
767.8316,0.235119
769.6953,0.233492
771.5589,0.231209
773.4226,0.228752
775.2863,0.226238
777.1499,0.223565
779.0136,0.221632
780.8773,0.219647
782.7409,0.217665
784.6046,0.215541
786.4683,0.213049
788.3320,0.210192
790.1956,0.208230
792.0593,0.206418
793.9230,0.204577
795.7866,0.202589
797.6503,0.200577
799.5140,0.198804
801.3776,0.197361
803.2413,0.195195
805.1050,0.193186
806.9686,0.191853
808.8323,0.190364
810.6960,0.188576
812.5596,0.187043
814.4233,0.185264
816.2870,0.183364
818.1507,0.181413
820.0143,0.179967
821.8780,0.178141
823.7417,0.175390
825.6053,0.172562
827.4690,0.170358
829.3327,0.168204
831.1963,0.166078
833.0600,0.164293
834.9237,0.162610
836.7873,0.160536
838.6510,0.158671
840.5147,0.156813
842.3784,0.154998
844.2420,0.153237
846.1057,0.151739
847.9694,0.150270
849.8330,0.148900
851.6967,0.147742
853.5604,0.146598
855.4240,0.145342
857.2877,0.144157
859.1514,0.143231
861.0150,0.142266
862.8787,0.141233
864.7424,0.140218
866.6060,0.138982
868.4697,0.137983
870.3334,0.137344
872.1971,0.136513
874.0607,0.135302
875.9244,0.134020
877.7881,0.132707
879.6517,0.131285
881.5154,0.129557
883.3791,0.127947
885.2427,0.126615
887.1064,0.125453
888.9701,0.124292
890.8337,0.123319
892.6974,0.122593
894.5611,0.121900
896.4247,0.120711
898.2884,0.119387
900.1521,0.118130
902.0158,0.117074
903.8794,0.116037
905.7431,0.115154
907.6068,0.114571
909.4704,0.114413
911.3341,0.114768
913.1978,0.115461
915.0614,0.115941
916.9251,0.116322
918.7888,0.116777
920.6524,0.117425
922.5161,0.118063
924.3798,0.118607
926.2435,0.118898
928.1071,0.118754
929.9708,0.118208
931.8345,0.117823
933.6981,0.117324
935.5618,0.116837
937.4255,0.116514
939.2891,0.116429
941.1528,0.116546
943.0165,0.116861
944.8801,0.116959
946.7438,0.116805
948.6075,0.116372
950.4711,0.115683
952.3348,0.114989
954.1985,0.114670
956.0622,0.114617
957.9258,0.115144
959.7895,0.116290
961.6532,0.117833
963.5168,0.119770
965.3805,0.122027
967.2442,0.124193
969.1078,0.126078
970.9715,0.127315
972.8352,0.128156
974.6988,0.129064
976.5625,0.130336
978.4262,0.132096
980.2899,0.134375
982.1535,0.136858
984.0172,0.139167
985.8809,0.141059
987.7445,0.142383
989.6082,0.143134
991.4719,0.143618
993.3355,0.144163
995.1992,0.144991
997.0629,0.146080
998.9265,0.147386
1000.7902,0.149007
1002.6539,0.150986
1004.5175,0.153414
1006.3812,0.156799
1008.2449,0.161127
1010.1086,0.166191
1011.9722,0.171849
1013.8359,0.177903
1015.6996,0.183987
1017.5632,0.189652
1019.4269,0.194401
1021.2906,0.198127
1023.1542,0.200867
1025.0179,0.203174
1026.8816,0.205539
1028.7452,0.208301
1030.6089,0.211044
1032.4726,0.213601
1034.3362,0.215923
1036.1999,0.217894
1038.0636,0.219556
1039.9273,0.221071
1041.7909,0.222503
1043.6546,0.223970
1045.5183,0.225500
1047.3819,0.227069
1049.2456,0.228603
1051.1093,0.230242
1052.9729,0.231954
1054.8366,0.233637
1056.7003,0.235330
1058.5639,0.236927
1060.4276,0.238323
1062.2913,0.239644
1064.1550,0.241010
1066.0186,0.242280
1067.8823,0.243529
1069.7460,0.244804
1071.6096,0.245899
1073.4733,0.246299
1075.3370,0.245494
1077.2006,0.243622
1079.0643,0.240349
1080.9280,0.235467
1082.7916,0.229249
1084.6553,0.222196
1086.5190,0.214984
1088.3826,0.208120
1090.2463,0.201850
1092.1100,0.196616
1093.9737,0.192244
1095.8373,0.188377
1097.7010,0.184963
1099.5647,0.181828
1101.4283,0.178995
1103.2920,0.176589
1105.1557,0.174546
1107.0193,0.173007
1108.8830,0.171884
1110.7467,0.171109
1112.6103,0.170504
1114.4740,0.169697
1116.3377,0.168690
1118.2014,0.167346
1120.0650,0.165545
1121.9287,0.163600
1123.7924,0.161597
1125.6560,0.159456
1127.5197,0.157264
1129.3834,0.154860
1131.2470,0.152186
1133.1107,0.149495
1134.9744,0.146865
1136.8380,0.144347
1138.7017,0.142184
1140.5654,0.140529
1142.4290,0.139264
1144.2927,0.138506
1146.1564,0.138294
1148.0201,0.138518
1149.8837,0.138802
1151.7474,0.138934
1153.6111,0.138945
1155.4747,0.138673
1157.3384,0.137947
1159.2021,0.136980
1161.0657,0.135877
1162.9294,0.134585
1164.7931,0.133191
1166.6567,0.131531
1168.5204,0.129330
1170.3841,0.126752
1172.2477,0.123763
1174.1114,0.120267
1175.9751,0.116643
1177.8388,0.113436
1179.7024,0.110829
1181.5661,0.109086
1183.4298,0.108116
1185.2934,0.107802
1187.1571,0.107919
1189.0208,0.108329
1190.8844,0.108999
1192.7481,0.109818
1194.6118,0.110821
1196.4754,0.112168
1198.3391,0.113687
1200.2028,0.115395
1202.0665,0.117393
1203.9301,0.119524
1205.7938,0.121550
1207.6575,0.123392
1209.5211,0.125154
1211.3848,0.126902
1213.2485,0.128741
1215.1121,0.130755
1216.9758,0.133035
1218.8395,0.135442
1220.7031,0.137879
1222.5668,0.140327
1224.4305,0.142734
1226.2941,0.144934
1228.1578,0.146928
1230.0215,0.148803
1231.8852,0.150419
1233.7488,0.151700
1235.6125,0.152593
1237.4762,0.153128
1239.3398,0.153184
1241.2035,0.152917
1243.0672,0.152414
1244.9308,0.151512
1246.7945,0.150230
1248.6582,0.148782
1250.5218,0.147278
1252.3855,0.145865
1254.2492,0.144448
1256.1129,0.142894
1257.9765,0.141423
1259.8402,0.140341
1261.7039,0.139371
1263.5675,0.138446
1265.4312,0.137505
1267.2949,0.136829
1269.1585,0.136280
1271.0222,0.135821
1272.8859,0.135419
