#Wavenumber	Intensity
650.4205	0.070180
652.2841	0.069948
654.1478	0.070097
656.0115	0.069709
657.8751	0.069930
659.7388	0.069712
661.6025	0.068922
663.4661	0.068854
665.3298	0.068780
667.1935	0.068048
669.0571	0.069406
670.9208	0.068816
672.7845	0.068197
674.6481	0.067809
676.5118	0.066821
678.3755	0.066500
680.2392	0.066878
682.1028	0.066389
683.9665	0.066410
685.8302	0.066155
687.6938	0.065507
689.5575	0.065182
691.4212	0.065138
693.2848	0.064757
695.1485	0.064797
697.0122	0.064613
698.8758	0.063987
700.7395	0.063219
702.6032	0.062700
704.4669	0.062085
706.3305	0.061487
708.1942	0.060930
710.0579	0.060572
711.9215	0.060361
713.7852	0.059983
715.6489	0.059388
717.5125	0.059020
719.3762	0.058788
721.2399	0.058579
723.1035	0.058263
724.9672	0.057886
726.8309	0.057201
728.6945	0.056573
730.5582	0.056333
732.4219	0.056075
734.2856	0.055603
736.1492	0.055209
738.0129	0.054828
739.8766	0.054542
741.7402	0.054364
743.6039	0.054002
745.4676	0.053511
747.3312	0.053177
749.1949	0.052527
751.0586	0.051807
752.9222	0.051285
754.7859	0.050882
756.6496	0.050498
758.5132	0.050292
760.3769	0.049947
762.2406	0.049324
764.1043	0.048877
765.9679	0.048651
767.8316	0.048232
769.6953	0.047932
771.5589	0.047469
773.4226	0.046984
775.2863	0.046771
777.1499	0.046507
779.0136	0.045923
780.8773	0.045451
782.7409	0.045250
784.6046	0.044962
786.4683	0.044395
788.3320	0.043949
790.1956	0.043632
792.0593	0.043267
793.9230	0.042824
795.7866	0.042312
797.6503	0.041748
799.5140	0.041359
801.3776	0.041066
803.2413	0.040750
805.1050	0.040482
806.9686	0.039994
808.8323	0.039528
810.6960	0.039442
812.5596	0.039266
814.4233	0.038927
816.2870	0.038536
818.1507	0.038090
820.0143	0.037631
821.8780	0.037222
823.7417	0.036850
825.6053	0.036622
827.4690	0.036546
829.3327	0.036358
831.1963	0.035931
833.0600	0.035540
834.9237	0.035106
836.7873	0.034647
838.6510	0.034456
840.5147	0.034316
842.3784	0.034002
844.2420	0.033625
846.1057	0.033279
847.9694	0.033088
849.8330	0.032877
851.6967	0.032617
853.5604	0.032509
855.4240	0.032379
857.2877	0.032128
859.1514	0.031945
861.0150	0.031785
862.8787	0.031487
864.7424	0.031227
866.6060	0.031068
868.4697	0.030812
870.3334	0.030599
872.1971	0.030413
874.0607	0.030192
875.9244	0.030139
877.7881	0.030127
879.6517	0.029911
881.5154	0.029678
883.3791	0.029462
885.2427	0.029163
887.1064	0.028794
888.9701	0.028446
890.8337	0.028241
892.6974	0.028082
894.5611	0.027848
896.4247	0.027569
898.2884	0.027302
900.1521	0.027068
902.0158	0.026841
903.8794	0.026597
905.7431	0.026367
907.6068	0.026221
909.4704	0.026159
911.3341	0.026120
913.1978	0.026033
915.0614	0.025953
916.9251	0.025917
918.7888	0.025919
920.6524	0.025891
922.5161	0.025808
924.3798	0.025768
926.2435	0.025776
928.1071	0.025750
929.9708	0.025636
931.8345	0.025463
933.6981	0.025317
935.5618	0.025301
937.4255	0.025299
939.2891	0.025254
941.1528	0.025242
943.0165	0.025224
944.8801	0.025253
946.7438	0.025301
948.6075	0.025368
950.4711	0.025432
952.3348	0.025386
954.1985	0.025366
956.0622	0.025462
957.9258	0.025555
959.7895	0.025641
961.6532	0.025844
963.5168	0.026171
965.3805	0.026553
967.2442	0.026905
969.1078	0.027125
970.9715	0.027277
972.8352	0.027513
974.6988	0.027796
976.5625	0.028069
978.4262	0.028423
980.2899	0.028786
982.1535	0.029057
984.0172	0.029320
985.8809	0.029613
987.7445	0.029940
989.6082	0.030257
991.4719	0.030461
993.3355	0.030611
995.1992	0.030803
997.0629	0.031057
998.9265	0.031379
1000.7902	0.031719
1002.6539	0.032053
1004.5175	0.032426
1006.3812	0.032858
1008.2449	0.033310
1010.1086	0.033825
1011.9722	0.034429
1013.8359	0.035091
1015.6996	0.035821
1017.5632	0.036611
1019.4269	0.037421
1021.2906	0.038188
1023.1542	0.038872
1025.0179	0.039532
1026.8816	0.040199
1028.7452	0.040813
1030.6089	0.041417
1032.4726	0.042038
1034.3362	0.042645
1036.1999	0.043253
1038.0636	0.043848
1039.9273	0.044393
1041.7909	0.044897
1043.6546	0.045316
1045.5183	0.045525
1047.3819	0.045452
1049.2456	0.045184
1051.1093	0.044846
1052.9729	0.044435
1054.8366	0.044111
1056.7003	0.043956
1058.5639	0.043871
1060.4276	0.043941
1062.2913	0.044216
1064.1550	0.044563
1066.0186	0.044915
1067.8823	0.045307
1069.7460	0.045738
1071.6096	0.046177
1073.4733	0.046565
1075.3370	0.046833
1077.2006	0.047061
1079.0643	0.047146
