Wavenumber,Intensity
650.4205,0.231294
652.2841,0.229833
654.1478,0.227636
656.0115,0.226338
657.8751,0.225377
659.7388,0.223989
661.6025,0.222058
663.4661,0.219843
665.3298,0.216442
667.1935,0.216436
669.0571,0.220770
670.9208,0.217366
672.7845,0.213632
674.6481,0.211757
676.5118,0.210182
678.3755,0.209719
680.2392,0.208501
682.1028,0.206497
683.9665,0.204674
685.8302,0.203382
687.6938,0.202772
689.5575,0.202024
691.4212,0.200435
693.2848,0.198993
695.1485,0.197143
697.0122,0.195713
698.8758,0.194896
700.7395,0.194093
702.6032,0.192556
704.4669,0.190868
706.3305,0.189974
708.1942,0.189251
710.0579,0.187371
711.9215,0.185750
713.7852,0.184454
715.6489,0.183037
717.5125,0.181643
719.3762,0.180813
721.2399,0.179633
723.1035,0.177839
724.9672,0.176152
726.8309,0.175021
728.6945,0.173912
730.5582,0.172870
732.4219,0.171430
734.2856,0.169841
736.1492,0.168456
738.0129,0.167375
739.8766,0.166033
741.7402,0.164467
743.6039,0.163124
745.4676,0.161988
747.3312,0.160559
749.1949,0.158910
751.0586,0.157284
752.9222,0.156287
754.7859,0.155215
756.6496,0.153648
758.5132,0.152067
760.3769,0.150534
762.2406,0.148977
764.1043,0.147943
765.9679,0.146680
767.8316,0.145077
769.6953,0.143578
771.5589,0.142148
773.4226,0.140617
775.2863,0.139152
777.1499,0.137692
779.0136,0.136346
780.8773,0.134797
782.7409,0.133310
784.6046,0.131900
786.4683,0.130498
788.3320,0.128941
790.1956,0.127361
792.0593,0.125903
793.9230,0.124518
795.7866,0.123023
797.6503,0.121724
799.5140,0.120245
801.3776,0.118535
803.2413,0.117088
805.1050,0.115694
806.9686,0.114266
808.8323,0.112910
810.6960,0.111434
812.5596,0.110088
814.4233,0.108878
816.2870,0.107521
818.1507,0.106142
820.0143,0.104723
821.8780,0.103022
823.7417,0.101616
825.6053,0.100367
827.4690,0.099088
829.3327,0.097761
831.1963,0.096511
833.0600,0.095405
834.9237,0.094288
836.7873,0.092928
838.6510,0.091658
840.5147,0.090356
842.3784,0.089003
844.2420,0.087800
846.1057,0.086597
847.9694,0.085422
849.8330,0.084385
851.6967,0.083212
853.5604,0.082051
855.4240,0.080974
857.2877,0.079900
859.1514,0.078758
861.0150,0.077609
862.8787,0.076561
864.7424,0.075552
866.6060,0.074476
868.4697,0.073474
870.3334,0.072593
872.1971,0.071699
874.0607,0.070726
875.9244,0.069824
877.7881,0.068950
879.6517,0.068094
881.5154,0.067297
883.3791,0.066524
885.2427,0.065715
887.1064,0.064895
888.9701,0.064121
890.8337,0.063408
892.6974,0.062709
894.5611,0.061967
896.4247,0.061276
898.2884,0.060683
900.1521,0.059960
902.0158,0.059294
903.8794,0.058710
905.7431,0.058103
907.6068,0.057487
909.4704,0.056977
911.3341,0.056532
913.1978,0.056043
915.0614,0.055553
916.9251,0.055065
918.7888,0.054571
920.6524,0.054139
922.5161,0.053631
924.3798,0.053146
926.2435,0.052764
928.1071,0.052355
929.9708,0.051946
931.8345,0.051581
933.6981,0.051177
935.5618,0.050755
937.4255,0.050349
939.2891,0.049960
941.1528,0.049589
943.0165,0.049228
944.8801,0.048851
946.7438,0.048469
948.6075,0.048147
950.4711,0.047849
952.3348,0.047522
954.1985,0.047231
956.0622,0.046910
957.9258,0.046584
959.7895,0.046303
961.6532,0.046113
963.5168,0.045897
965.3805,0.045605
967.2442,0.045352
969.1078,0.045144
970.9715,0.044953
972.8352,0.044806
974.6988,0.044696
976.5625,0.044524
978.4262,0.044378
980.2899,0.044304
982.1535,0.044244
984.0172,0.044195
985.8809,0.044120
987.7445,0.044037
989.6082,0.043950
991.4719,0.043852
993.3355,0.043735
995.1992,0.043661
997.0629,0.043588
998.9265,0.043496
1000.7902,0.043358
1002.6539,0.043200
1004.5175,0.043058
1006.3812,0.042960
1008.2449,0.042909
1010.1086,0.042908
1011.9722,0.042912
1013.8359,0.042945
1015.6996,0.042968
1017.5632,0.042963
1019.4269,0.042971
1021.2906,0.043095
1023.1542,0.043210
1025.0179,0.043300
1026.8816,0.043340
1028.7452,0.043388
1030.6089,0.043471
1032.4726,0.043542
1034.3362,0.043616
1036.1999,0.043715
1038.0636,0.043810
1039.9273,0.043859
1041.7909,0.043928
1043.6546,0.043987
1045.5183,0.043974
1047.3819,0.043955
1049.2456,0.043952
1051.1093,0.043914
1052.9729,0.043859
1054.8366,0.043802
1056.7003,0.043779
1058.5639,0.043846
1060.4276,0.043964
1062.2913,0.044069
